Area Name,Area ID,Park Name,Park Name,Squirrel ID,Primary Fur Color,Primary Fur Color,Highlights in Fur Color,Highlights in Fur Color,Squirrel Latitude (DD.DDDDDD),Squirrel Longitude (-DD.DDDDDD)
BROOKLYN,D,McCarren Park,10,D-22-09,Gray,3,Gray,3,40.742556,-73.986971
BROOKLYN,D,McCarren Park,10,D-22-11,Gray,3,Gray,3,40.741528,-73.988324
BROOKLYN,D,McCarren Park,10,D-22-16,Cinnamon,2,Gray,3,40.735896,-73.99041
BROOKLYN,D,McCarren Park,10,D-22-37,Gray,3,Gray,3,40.73579,-73.990738
BROOKLYN,D,McCarren Park,10,D-22-42,Gray,3,Gray,3,40.735514,-73.99033
BROOKLYN,D,Msgr. McGolrick Park,11,D-21-13,Gray,3,Gray,3,40.74145,-73.987884
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-01,Gray,3,Gray,3,40.715484,-73.989299
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-02,Gray,3,Gray,3,40.712922,-74.005147
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-03,Gray,3,Gray,3,40.712922,-74.005147
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-04,Gray,3,Gray,3,40.725397,-73.944124
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-05,Gray,3,Gray,3,40.715415,-73.989567
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-06,Gray,3,Gray,3,40.721258,-73.950799
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-07,Gray,3,Gray,3,40.721217,-73.95077
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-08,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-09,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-10,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-11,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-12,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-13,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-14,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-15,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-16,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-17,Gray,3,Gray,3,40.72937,-73.9692
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-18,Gray,3,Gray,3,40.80362,-73.944067
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-19,Gray,3,Gray,3,40.724011,-73.97313
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-20,Gray,3,Gray,3,40.817719,-73.948914
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-21,Gray,3,Gray,3,40.713044,-74.005404
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-22,Gray,3,Gray,3,40.70442,-74.014741
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-23,Gray,3,Gray,3,40.72167,-73.953364
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-24,Gray,3,Gray,3,40.721768,-73.953192
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-25,Gray,3,Gray,3,40.723071,-73.951697
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-26,Gray,3,Gray,3,40.723071,-73.951697
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-27,Gray,3,Gray,3,40.725527,-73.943974
UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),12,A-05-28,Gray,3,Gray,3,40.719777,-73.952774
UPPER MANHATTAN,A,St. Nicholas Park,14,A-04-06,Gray,3,Gray,3,40.733737,-73.984644
UPPER MANHATTAN,A,St. Nicholas Park,14,A-04-07,Gray,3,Gray,3,40.733932,-73.984612
UPPER MANHATTAN,A,St. Nicholas Park,14,A-04-10,Gray,3,Gray,3,40.734014,-73.984461
UPPER MANHATTAN,A,St. Nicholas Park,14,A-04-14,Gray,3,Gray,3,40.734083,-73.984322
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-01,Gray,3,Gray,3,40.733737,-73.98438
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-02,Gray,3,Gray,3,40.733506,-73.984553
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-04,Gray,3,Gray,3,40.73403,-73.984199
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-05,Gray,3,Gray,3,40.734314,-73.984231
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-06,Gray,3,Gray,3,40.734335,-73.984038
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-07,Gray,3,Gray,3,40.734383,-73.984118
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-08,Gray,3,Gray,3,40.734356,-73.984062
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-09,Gray,3,Gray,3,40.714749,-73.989577
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-10,Gray,3,Gray,3,40.720749,-73.951891
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-11,Gray,3,Gray,3,40.720018,-73.953442
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-12,Gray,3,Gray,3,40.720372,-73.952326
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-13,Gray,3,Gray,3,40.719376,-73.952326
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-14,Gray,3,Gray,3,40.816677,-73.949549
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-15,Gray,3,Gray,3,40.818308,-73.948952
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-16,Gray,3,Gray,3,40.818308,-73.952326
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-17,Gray,3,Gray,3,40.818308,-73.952326
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-18,Gray,3,Gray,3,40.730703,-73.995821
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-19,Gray,3,Gray,3,40.730638,-73.995784
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-20,Gray,3,Gray,3,40.730528,-73.995891
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-21,Gray,3,Gray,3,40.730394,-73.996009
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-22,Gray,3,Gray,3,40.730223,-73.996132
